CoC Number,CoC Name,CoC Category,"Overall Homeless, 2020","Overall Homeless - Under 18, 2020","Overall Homeless - Age 18 to 24, 2020","Overall Homeless - Over 24, 2020","Overall Homeless - Female, 2020","Overall Homeless - Male, 2020","Overall Homeless - Transgender, 2020","Overall Homeless - Gender Non-Conforming, 2020","Overall Homeless - Non-Hispanic/Non-Latino, 2020","Overall Homeless - Hispanic/Latino, 2020","Overall Homeless - White, 2020","Overall Homeless - Black or African American, 2020","Overall Homeless - Asian, 2020","Overall Homeless - American Indian or Alaska Native, 2020","Overall Homeless - Native Hawaiian or Other Pacific Islander, 2020","Overall Homeless - Multiple Races, 2020","Sheltered Total Homeless, 2020","Unsheltered Homeless, 2020","Overall Homeless Individuals, 2020","Overall Homeless People in Families, 2020","Overall Chronically Homeless, 2020","Sheltered Total Chronically Homeless, 2020","Unsheltered Chronically Homeless, 2020","Overall Homeless Veterans, 2020"
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Largely Suburban CoC,298,98,14,186,160,138,0,0,297,1,49,237,1,4,0,7,162,136,139,159,37,7,30,21
IL-510,Chicago CoC,Major City CoC,"5,390","1,134",495,"3,761","2,051","3,320",17,2,"4,777",613,"1,088","4,148",61,46,10,37,"3,861","1,529","3,668","1,722","1,521",675,846,487
IL-511,Cook County CoC,Largely Suburban CoC,846,180,75,591,343,502,1,0,741,105,321,469,7,5,5,39,728,118,554,292,174,137,37,36
IL-512,Bloomington/Central Illinois CoC,Largely Rural CoC,408,95,53,260,190,218,0,0,399,9,198,200,1,2,0,7,356,52,271,137,71,47,24,28
IL-513,Springfield/Sangamon County CoC,Other Largely Urban CoC,294,54,27,213,115,175,3,1,281,13,160,114,1,3,1,15,251,43,216,78,73,57,16,22
IL-514,DuPage County CoC,Largely Suburban CoC,328,83,62,183,160,161,7,0,285,43,168,137,3,0,0,20,318,10,191,137,50,49,1,8
IL-515,South Central Illinois CoC,Largely Rural CoC,123,35,14,74,59,64,0,0,123,0,109,9,0,2,0,3,91,32,62,61,10,1,9,2
IL-516,Decatur/Macon County CoC,Other Largely Urban CoC,135,12,10,113,55,80,0,0,135,0,80,51,0,1,0,3,112,23,118,17,28,18,10,12
IL-517,"Aurora, Elgin/Kane County CoC",Largely Suburban CoC,410,58,23,329,190,219,1,0,292,118,247,137,4,4,0,18,345,65,323,87,101,88,13,14
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",Largely Rural CoC,135,29,15,91,64,71,0,0,121,14,66,57,6,0,0,6,117,18,86,49,16,12,4,5
IL-519,West Central Illinois CoC,Largely Rural CoC,113,15,22,76,57,55,1,0,106,7,82,28,1,0,0,2,110,3,88,25,3,3,0,2
IL-520,Southern Illinois CoC,Largely Rural CoC,233,51,21,161,107,126,0,0,222,11,169,50,1,5,0,8,187,46,155,78,22,22,0,8
IN-502,Indiana Balance of State CoC,Largely Rural CoC,"4,037",771,286,"2,980","1,728","2,293",9,7,"3,764",273,"2,824",919,22,46,14,212,"3,257",780,"2,841","1,196",271,271,0,309
IN-503,Indianapolis CoC,Major City CoC,"1,588",207,66,"1,315",454,"1,127",7,0,"1,514",74,668,864,15,4,7,30,"1,402",186,"1,276",312,132,68,64,221
KS-502,Wichita/Sedgwick County CoC,Other Largely Urban CoC,619,94,41,484,165,454,0,0,542,77,375,173,13,32,1,25,558,61,475,144,48,25,23,58
KS-503,Topeka/Shawnee County CoC,Other Largely Urban CoC,467,68,14,385,200,266,0,1,430,37,258,82,1,13,0,113,375,92,362,105,163,96,67,37
KS-505,"Overland Park, Shawnee/Johnson County CoC",Largely Suburban CoC,180,66,9,105,88,91,1,0,168,12,79,72,0,1,0,28,156,24,71,109,19,11,8,3
KS-507,Kansas Balance of State CoC,Largely Rural CoC,943,156,118,669,374,569,0,0,832,111,674,123,1,49,1,95,720,223,637,306,109,44,65,63
KY-500,Kentucky Balance of State CoC,Largely Rural CoC,"2,220",328,162,"1,730",958,"1,258",3,1,"2,166",54,"1,892",265,3,10,5,45,"1,464",756,"1,705",515,308,181,127,153
KY-501,Louisville-Jefferson County CoC,Major City CoC,"1,102",178,84,840,434,666,2,0,"1,055",47,500,525,11,5,1,60,961,141,834,268,269,215,54,157
KY-502,Lexington-Fayette County CoC,Other Largely Urban CoC,689,75,22,592,215,469,3,2,654,35,434,206,5,7,14,23,658,31,577,112,89,80,9,89
LA-500,Lafayette/Acadiana CoC,Largely Rural CoC,417,72,27,318,124,293,0,0,407,10,156,240,6,3,0,12,234,183,311,106,112,38,74,30
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",Other Largely Urban CoC,298,67,15,216,114,183,0,1,296,2,105,182,2,1,1,7,256,42,195,103,55,38,17,87
LA-503,New Orleans/Jefferson Parish CoC,Major City CoC,"1,314",100,144,"1,070",344,958,10,2,"1,265",49,432,852,10,16,3,1,759,555,"1,161",153,113,57,56,113
LA-505,Monroe/Northeast Louisiana CoC,Largely Rural CoC,162,28,23,111,67,95,0,0,161,1,56,103,0,1,1,1,122,40,120,42,21,11,10,7
LA-506,Slidell/Southeast Louisiana CoC,Largely Suburban CoC,118,7,1,110,36,82,0,0,113,5,75,32,0,2,0,9,84,34,106,12,12,5,7,36
LA-507,Alexandria/Central Louisiana CoC,Largely Rural CoC,107,16,10,81,33,74,0,0,107,0,73,33,0,0,0,1,91,16,82,25,13,5,8,14
LA-509,Louisiana Balance of State CoC,Largely Suburban CoC,757,106,55,596,249,507,1,0,736,21,268,466,3,6,0,14,474,283,616,141,111,50,61,91
MA-500,Boston CoC,Major City CoC,"6,134","2,360",470,"3,304","3,026","3,090",14,4,"3,981","2,153","2,115","3,186",94,33,57,649,"5,999",135,"2,169","3,965",683,662,21,341
MA-502,Lynn CoC,Largely Suburban CoC,"1,040",604,90,346,612,428,0,0,884,156,608,311,5,4,5,107,"1,027",13,32,"1,008",79,73,6,0
MA-503,Cape Cod Islands CoC,Largely Suburban CoC,336,85,22,229,172,164,0,0,300,36,252,61,3,5,0,15,286,50,175,161,56,20,36,9
MA-504,Springfield/Hampden County CoC,Largely Suburban CoC,"2,257","1,140",181,936,"1,202","1,054",1,0,961,"1,296","1,702",525,3,3,1,23,"2,153",104,447,"1,810",139,104,35,13
MA-505,New Bedford CoC,Largely Suburban CoC,398,133,31,234,188,210,0,0,279,119,230,108,1,7,0,52,350,48,201,197,46,33,13,39
MA-506,Worcester City & County CoC,Largely Suburban CoC,"1,401",472,126,803,674,720,6,1,845,556,"1,059",293,14,6,2,27,"1,212",189,628,773,169,110,59,103
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Largely Suburban CoC,591,92,41,458,191,397,3,0,483,108,458,78,3,3,4,45,490,101,456,135,79,25,54,170
MA-509,Cambridge CoC,Other Largely Urban CoC,501,71,58,372,169,327,2,3,407,94,268,199,8,2,2,22,438,63,367,134,216,174,42,10
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",Largely Suburban CoC,670,255,37,378,334,336,0,0,460,210,495,143,7,5,0,20,610,60,237,433,110,90,20,34
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Largely Suburban CoC,"1,079",398,80,601,517,560,2,0,895,184,484,475,13,4,1,102,"1,049",30,385,694,198,181,17,47
MA-515,Fall River CoC,Largely Suburban CoC,357,148,18,191,182,175,0,0,239,118,253,83,5,1,0,15,298,59,121,236,73,28,45,6
MA-516,Massachusetts Balance of State CoC,Largely Suburban CoC,"2,961","1,219",233,"1,509","1,500","1,452",5,4,"1,863","1,098","1,835",975,41,13,15,82,"2,547",414,958,"2,003",181,181,0,62
MA-519,"Attleboro, Taunton/Bristol County CoC",Largely Suburban CoC,250,115,17,118,124,126,0,0,193,57,144,101,1,0,0,4,222,28,57,193,13,6,7,2
MD-500,Cumberland/Allegany County CoC,Largely Suburban CoC,103,26,7,70,36,67,0,0,98,5,87,14,0,0,0,2,91,12,56,47,12,9,3,3
MD-501,Baltimore CoC,Major City CoC,"2,193",245,80,"1,868",782,"1,399",11,1,"2,116",77,548,"1,561",14,19,8,43,"1,895",298,"1,824",369,586,387,199,235
MD-502,Harford County CoC,Largely Suburban CoC,166,57,5,104,86,79,0,1,150,16,74,78,0,3,0,11,153,13,82,84,15,13,2,8
MD-503,Annapolis/Anne Arundel County CoC,Largely Suburban CoC,319,50,20,249,120,197,2,0,310,9,158,132,3,2,0,24,229,90,233,86,54,28,26,18
MD-504,Howard County CoC,Largely Suburban CoC,139,36,9,94,60,79,0,0,123,16,42,70,1,2,0,24,99,40,85,54,30,17,13,6
MD-505,Baltimore County CoC,Largely Suburban CoC,712,202,40,470,324,387,1,0,686,26,240,428,8,11,5,20,496,216,378,334,188,85,103,27
MD-506,Carroll County CoC,Largely Suburban CoC,130,9,9,112,53,75,2,0,129,1,109,15,0,3,0,3,107,23,111,19,28,20,8,8
MD-507,Cecil County CoC,Largely Suburban CoC,117,31,5,81,43,74,0,0,114,3,68,45,0,1,0,3,110,7,69,48,16,9,7,39
MD-508,"Charles, Calvert, St.Mary's Counties CoC",Largely Suburban CoC,399,96,27,276,181,209,9,0,396,3,132,244,4,3,2,14,247,152,243,156,109,23,86,17
MD-509,Frederick City & County CoC,Largely Suburban CoC,299,42,21,236,101,192,0,6,262,37,188,91,4,3,1,12,249,50,229,70,198,154,44,6
MD-510,Garrett County CoC,Largely Rural CoC,21,3,4,14,13,8,0,0,21,0,20,0,0,1,0,0,19,2,16,5,1,0,1,2
MD-511,Mid-Shore Regional CoC,Largely Rural CoC,157,62,9,86,76,79,2,0,153,4,84,61,0,1,0,11,129,28,56,101,28,25,3,6
MD-512,Hagerstown/Washington County CoC,Largely Suburban CoC,159,25,11,123,51,108,0,0,148,11,100,52,0,0,1,6,102,57,118,41,28,13,15,28
MD-513,"Wicomico, Somerset, Worcester Counties CoC",Largely Rural CoC,310,66,14,230,128,182,0,0,304,6,142,153,0,2,5,8,256,54,211,99,73,45,28,25
MD-600,Prince George's County CoC,Largely Suburban CoC,466,152,39,275,213,252,1,0,425,41,31,391,1,5,1,37,375,91,232,234,21,21,0,22
MD-601,Montgomery County CoC,Largely Suburban CoC,670,113,46,511,301,366,3,0,559,111,188,420,21,4,3,34,567,103,487,183,10,10,0,14
ME-500,Maine Statewide CoC,Largely Rural CoC,"2,097",480,149,"1,468",940,"1,143",8,6,"2,013",84,"1,631",310,3,48,7,98,"1,956",141,"1,289",808,248,204,44,103
MI-500,Michigan Balance of State CoC,Largely Rural CoC,"1,502",438,122,942,737,764,0,1,"1,426",76,"1,275",129,0,25,4,69,"1,230",272,819,683,124,81,43,59
MI-501,Detroit CoC,Major City CoC,"1,589",351,136,"1,102",583,"1,004",2,0,"1,553",36,173,"1,374",7,4,3,28,"1,503",86,"1,056",533,187,154,33,288
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Largely Suburban CoC,260,111,8,141,128,132,0,0,253,7,108,127,1,4,0,20,239,21,95,165,31,29,2,20
MI-503,"St. Clair Shores, Warren/Macomb County CoC",Largely Suburban CoC,251,44,8,199,95,156,0,0,241,10,119,123,0,1,0,8,199,52,191,60,23,13,10,13
MI-504,"Pontiac, Royal Oak/Oakland County CoC",Largely Suburban CoC,459,101,53,305,192,266,0,1,431,28,172,268,3,0,0,16,335,124,311,148,61,38,23,10
MI-505,Flint/Genesee County CoC,Largely Suburban CoC,349,76,22,251,146,203,0,0,299,50,154,149,0,4,1,41,276,73,242,107,48,22,26,16
MI-506,"Grand Rapids, Wyoming/Kent County CoC",Largely Suburban CoC,923,233,88,602,380,538,4,1,856,67,331,494,9,11,2,76,837,86,567,356,185,141,44,69
MI-507,"Portage, Kalamazoo City & County CoC",Other Largely Urban CoC,639,186,30,423,326,313,0,0,621,18,245,369,6,11,0,8,496,143,372,267,160,118,42,19
MI-508,"Lansing, East Lansing/Ingham County CoC",Other Largely Urban CoC,512,120,29,363,213,298,0,1,471,41,243,191,2,8,0,68,482,30,328,184,33,24,9,33
MI-509,Washtenaw County CoC,Largely Suburban CoC,274,55,20,199,102,169,2,1,260,14,106,132,1,1,0,34,257,17,193,81,59,49,10,25
MI-510,Saginaw City & County CoC,Largely Suburban CoC,431,143,32,256,210,221,0,0,408,23,144,250,1,6,0,30,421,10,227,204,22,20,2,21
MI-511,Lenawee County CoC,Largely Rural CoC,168,55,15,98,93,75,0,0,120,48,123,20,0,1,0,24,161,7,81,87,22,22,0,13
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",Largely Rural CoC,211,19,12,180,70,141,0,0,207,4,175,11,1,9,1,14,183,28,178,33,54,37,17,8
MI-514,Battle Creek/Calhoun County CoC,Other Largely Urban CoC,229,30,15,184,74,155,0,0,224,5,117,84,1,8,14,5,182,47,185,44,58,37,21,31
MI-515,Monroe City & County CoC,Largely Suburban CoC,184,41,16,127,92,92,0,0,180,4,128,42,0,1,1,12,182,2,122,62,17,15,2,2
MI-516,"Norton Shores, Muskegon City & County CoC",Largely Suburban CoC,129,33,11,85,54,75,0,0,120,9,51,71,1,0,0,6,122,7,77,52,9,8,1,5
MI-517,Jackson City & County CoC,Largely Rural CoC,100,23,10,67,50,50,0,0,97,3,55,26,2,1,1,15,75,25,67,33,6,6,0,1
MI-518,Livingston County CoC,Largely Suburban CoC,47,25,6,16,33,14,0,0,44,3,35,7,0,1,0,4,47,0,10,37,1,1,0,2
MI-519,Holland/Ottawa County CoC,Largely Suburban CoC,270,88,19,163,123,147,0,0,243,27,191,46,18,4,2,9,262,8,140,130,8,7,1,4
MI-523,Eaton County CoC,Largely Suburban CoC,111,67,6,38,69,42,0,0,100,11,78,24,0,0,0,9,110,1,6,105,1,1,0,0
MN-500,Minneapolis/Hennepin County CoC,Major City CoC,"3,049",865,287,"1,897","1,253","1,773",12,11,"2,815",234,697,"1,822",48,263,28,191,"2,407",642,"1,829","1,220",711,427,284,134
MN-501,Saint Paul/Ramsey County CoC,Other Largely Urban CoC,"1,630",400,117,"1,113",627,994,6,3,"1,471",159,443,886,69,73,9,150,"1,292",338,"1,043",587,417,230,187,61
MN-502,Rochester/Southeast Minnesota CoC,Largely Rural CoC,459,146,69,244,244,212,2,1,400,59,282,118,10,10,2,37,393,66,219,240,79,52,27,13
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",Largely Suburban CoC,561,137,74,350,273,285,1,2,513,48,309,167,6,9,1,69,415,146,327,234,115,59,56,21
MN-504,Northeast Minnesota CoC,Largely Rural CoC,143,35,26,82,66,76,0,1,137,6,108,4,0,20,0,11,82,61,86,57,11,7,4,1
MN-505,St. Cloud/Central Minnesota CoC,Largely Rural CoC,864,181,208,475,370,493,0,1,830,34,561,155,5,96,7,40,466,398,572,292,142,41,101,50
MN-506,Northwest Minnesota CoC,Largely Rural CoC,320,121,42,157,153,166,1,0,290,30,118,13,2,153,0,34,317,3,128,192,60,59,1,6
MN-508,Moorhead/West Central Minnesota CoC,Largely Rural CoC,223,91,23,109,101,121,1,0,187,36,120,28,1,56,0,18,223,0,78,145,32,32,0,6
MN-509,Duluth/St.Louis County CoC,Largely Rural CoC,612,139,74,399,274,333,2,3,591,21,328,100,4,110,3,67,328,284,405,207,206,54,152,19
MN-511,Southwest Minnesota CoC,Largely Rural CoC,79,25,12,42,47,32,0,0,61,18,50,9,0,5,0,15,68,11,39,40,14,11,3,4
MO-500,St. Louis County CoC,Largely Suburban CoC,479,186,141,152,282,194,3,0,471,8,67,382,4,4,4,18,449,30,225,254,47,34,13,12
MO-501,St.Louis City CoC,Other Largely Urban CoC,"1,260",247,102,911,440,811,6,3,"1,237",23,301,922,10,2,2,23,"1,062",198,837,423,326,222,104,143
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",Largely Suburban CoC,392,142,44,206,213,177,1,1,371,21,260,96,0,5,0,31,267,125,176,216,18,8,10,6
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Other Largely Urban CoC,540,105,45,390,252,285,2,1,501,39,401,64,2,22,4,47,452,88,389,151,134,87,47,24
MO-602,"Joplin/Jasper, Newton Counties CoC",Largely Rural CoC,313,31,16,266,108,205,0,0,295,18,264,25,0,12,1,11,243,70,261,52,56,33,23,65
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Other Largely Urban CoC,241,55,16,170,115,125,0,1,225,16,168,47,5,2,0,19,199,42,152,89,86,58,28,10
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",Major City CoC,"1,973",409,235,"1,329",867,"1,095",7,4,"1,816",157,968,811,11,23,9,151,"1,448",525,"1,507",466,204,67,137,146
MO-606,Missouri Balance of State CoC,Largely Rural CoC,"1,569",330,125,"1,114",776,784,6,3,"1,497",72,"1,219",245,3,18,2,82,917,652,"1,075",494,260,150,110,89
MP-500,Northern Mariana Islands CoC,Largely Rural CoC,"1,207",409,117,681,576,631,0,0,"1,207",0,7,0,438,0,758,4,2,"1,205",323,884,0,0,0,9
MS-500,"Jackson/Rankin, Madison Counties CoC",Largely Suburban CoC,406,69,20,317,127,277,2,0,405,1,142,255,3,1,1,4,293,113,300,106,80,42,38,35
MS-501,Mississippi Balance of State CoC,Largely Rural CoC,447,56,23,368,179,268,0,0,444,3,203,230,0,4,0,10,220,227,362,85,63,0,63,25
MS-503,Gulf Port/Gulf Coast Regional CoC,Largely Rural CoC,254,40,10,204,89,164,1,0,240,14,167,69,0,6,4,8,68,186,191,63,3,0,3,8
MT-500,Montana Statewide CoC,Largely Rural CoC,"1,545",328,98,"1,119",630,896,10,9,"1,398",147,"1,087",51,4,300,10,93,"1,085",460,996,549,223,59,164,165
NC-500,Winston-Salem/Forsyth County CoC,Other Largely Urban CoC,504,49,24,431,137,366,1,0,496,8,214,281,1,1,0,7,447,57,427,77,136,106,30,50
NC-501,Asheville/Buncombe County CoC,Largely Suburban CoC,547,47,9,491,150,396,1,0,524,23,376,144,1,8,3,15,482,65,477,70,110,72,38,218
NC-502,Durham City & County CoC,Other Largely Urban CoC,349,59,21,269,113,236,0,0,333,16,87,247,0,3,0,12,272,77,245,104,61,38,23,58
NC-503,North Carolina Balance of State CoC,Largely Rural CoC,"3,185",594,221,"2,370","1,362","1,819",2,2,"3,029",156,"1,793","1,205",14,51,5,117,"2,189",996,"2,270",915,324,205,119,151
NC-504,"Greensboro, High Point CoC",Other Largely Urban CoC,624,91,53,480,215,409,0,0,606,18,208,399,1,1,0,15,434,190,504,120,33,20,13,56
NC-505,Charlotte/Mecklenberg CoC,Major City CoC,"1,604",307,107,"1,190",652,949,3,0,"1,560",44,269,"1,260",4,8,0,63,"1,390",214,"1,147",457,286,203,83,123
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Largely Suburban CoC,350,37,10,303,121,228,1,0,326,24,200,125,1,1,1,22,231,119,295,55,52,15,37,35
NC-507,Raleigh/Wake County CoC,Major City CoC,974,194,70,710,392,575,7,0,902,72,259,659,6,11,4,35,742,232,667,307,103,57,46,48
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",Largely Suburban CoC,325,60,17,248,139,186,0,0,301,24,195,108,0,4,0,18,140,185,234,91,78,4,74,21
NC-511,Fayetteville/Cumberland County CoC,Other Largely Urban CoC,297,80,6,211,108,188,1,0,274,23,62,219,0,0,6,10,132,165,172,125,40,0,40,28
NC-513,Chapel Hill/Orange County CoC,Other Largely Urban CoC,124,15,2,107,32,92,0,0,119,5,52,61,2,3,0,6,105,19,97,27,13,4,9,7
NC-516,Northwest North Carolina CoC,Largely Rural CoC,397,101,21,275,193,202,2,0,350,47,345,49,0,2,1,0,158,239,221,176,36,26,10,3
ND-500,North Dakota Statewide CoC,Largely Rural CoC,541,115,46,380,226,314,1,0,501,40,285,95,1,131,1,28,507,34,371,170,92,77,15,49
NE-500,Nebraska Balance of State CoC,Largely Rural CoC,542,138,51,353,235,305,2,0,424,118,456,45,1,15,3,22,517,25,330,212,19,16,3,21
NE-501,"Omaha, Council Bluffs CoC",Major City CoC,"1,405",195,99,"1,111",457,945,3,0,"1,252",153,863,386,11,34,10,101,"1,328",77,"1,121",284,338,301,37,118
NE-502,Lincoln CoC,Other Largely Urban CoC,457,130,31,296,205,251,1,0,399,58,269,112,10,22,2,42,416,41,271,186,106,83,23,14
NH-500,New Hampshire Balance of State CoC,Largely Rural CoC,877,170,68,639,394,479,4,0,834,43,793,39,10,4,5,26,632,245,571,306,340,186,154,26
NH-501,Manchester CoC,Other Largely Urban CoC,498,121,35,342,225,273,0,0,415,83,424,31,3,1,1,38,424,74,288,210,73,55,18,33
NH-502,Nashua/Hillsborough County CoC,Largely Suburban CoC,300,82,15,203,116,183,1,0,242,58,257,28,3,1,1,10,271,29,164,136,33,24,9,57
NJ-500,Atlantic City & County CoC,Largely Suburban CoC,443,30,32,381,105,338,0,0,376,67,182,210,11,2,2,36,286,157,397,46,146,70,76,54
NJ-501,Bergen County CoC,Largely Suburban CoC,352,83,40,229,180,172,0,0,241,111,208,123,2,5,0,14,346,6,230,122,9,6,3,10
NJ-502,Burlington County CoC,Largely Suburban CoC,553,164,36,353,266,285,2,0,494,59,217,307,0,5,9,15,528,25,297,256,97,84,13,8
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",Largely Suburban CoC,"1,047",181,61,805,407,633,6,1,871,176,445,531,7,15,7,42,800,247,777,270,265,77,188,136
NJ-504,Newark/Essex County CoC,Largely Suburban CoC,"2,209",537,180,"1,492",949,"1,256",2,2,"1,841",368,305,"1,769",5,29,16,85,"1,796",413,"1,340",869,313,106,207,87
NJ-506,"Jersey City, Bayonne/Hudson County CoC",Largely Suburban CoC,944,105,46,793,309,634,0,1,645,299,404,513,7,3,2,15,646,298,769,175,314,133,181,27
NJ-507,New Brunswick/Middlesex County CoC,Largely Suburban CoC,666,181,43,442,292,373,1,0,458,208,310,329,11,2,3,11,565,101,366,300,90,50,40,23
NJ-508,Monmouth County CoC,Largely Suburban CoC,399,101,29,269,163,236,0,0,346,53,186,186,0,1,0,26,340,59,239,160,88,51,37,15
NJ-509,Morris County CoC,Largely Suburban CoC,354,96,26,232,156,198,0,0,284,70,217,101,4,4,1,27,325,29,194,160,51,39,12,6
NJ-510,Lakewood Township/Ocean County CoC,Largely Suburban CoC,349,86,31,232,174,175,0,0,296,53,234,88,1,3,0,23,324,25,211,138,44,35,9,6
NJ-511,Paterson/Passaic County CoC,Largely Suburban CoC,583,108,45,430,242,341,0,0,388,195,264,291,0,6,1,21,393,190,422,161,122,45,77,20
NJ-512,Salem County CoC,Largely Suburban CoC,32,8,0,24,20,12,0,0,32,0,18,11,0,0,0,3,22,10,20,12,9,4,5,1
NJ-513,Somerset County CoC,Largely Suburban CoC,342,81,35,226,168,174,0,0,281,61,128,190,0,3,1,20,332,10,233,109,18,17,1,94
NJ-514,Trenton/Mercer County CoC,Largely Suburban CoC,556,113,53,390,206,350,0,0,484,72,148,376,6,8,5,13,451,105,376,180,71,36,35,21
NJ-515,Elizabeth/Union County CoC,Largely Suburban CoC,484,116,45,323,225,259,0,0,353,131,183,290,1,0,0,10,419,65,295,189,42,25,17,20
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",Largely Suburban CoC,349,63,15,271,168,178,3,0,300,49,232,103,3,2,1,8,308,41,247,102,64,48,16,67
NM-500,Albuquerque CoC,Major City CoC,"1,586",197,106,"1,283",490,"1,080",15,1,969,617,965,155,12,360,23,71,"1,019",567,"1,311",275,553,218,335,143
NM-501,New Mexico Balance of State CoC,Largely Rural CoC,"1,747",285,115,"1,347",707,"1,023",4,13,"1,039",708,"1,046",72,2,471,15,141,"1,055",692,"1,244",503,981,639,342,109
NV-500,Las Vegas/Clark County CoC,Major City CoC,"5,283",214,470,"4,599","1,517","3,758",8,0,"4,518",765,"3,137","1,703",104,75,91,173,"1,822","3,461","5,013",270,"1,131",319,812,734
NV-501,"Reno, Sparks/Washoe County CoC",Other Largely Urban CoC,"1,231",127,65,"1,039",393,836,2,0,"1,003",228,919,169,23,56,20,44,772,459,"1,052",179,148,89,59,158
NV-502,Nevada Balance of State CoC,Largely Rural CoC,386,42,14,330,140,245,1,0,335,51,338,12,1,16,10,9,97,289,316,70,90,4,86,32
